country,iso3c,region_id,eco_status,Kg_capita_day_waste_gen,Kg_waste_ref,percent_plastic,Perc_plast_ref,annual_change_waste_gen,annual_change_ref,total_missman,percent_mismanged_kaza2018,Lebreton_Andrady_percent_missman,missmanaged_ref,waste_treatment_landfill_unspecified_percent,prop_unspecified,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,Kaza_sum_missmanaged
Afghanistan,AFG,SAS,LI,0.444961975,Kaza et al 2018,0.142,Kaza et al 2018,1.002,Kaza et al 2018,0.979,0,0.979,Lebreton & Andrady 2018,NA,NA,NA,NA,NA,NA,0
Albania,ALB,ECS,UMI,1.122248965,Kaza et al 2018,0.096,Kaza et al 2018,1.01,Kaza et al 2018,0.99,0,0.99,Lebreton & Andrady 2018,NA,NA,NA,NA,NA,NA,0
Algeria,DZA,MEA,UMI,0.835204471,Kaza et al 2018,0.169,Kaza et al 2018,1.01,Kaza et al 2018,0.8,0,0.8,Lebreton & Andrady 2018,NA,NA,NA,NA,NA,NA,0
American Samoa,ASM,EAS,UMI,0.935712109,Kaza et al 2018,0.128,Kaza et al 2018,1.01,Kaza et al 2018,0.58,0,0.58,Lebreton & Andrady 2018,NA,NA,NA,NA,NA,NA,0
Angola,AGO,SSF,LMI,0.459174431,Kaza et al 2018,0.135,Kaza et al 2018,1.007,Kaza et al 2018,0.9,0,0.9,Lebreton & Andrady 2018,NA,NA,NA,NA,NA,NA,0
Antigua and Barbuda,ATG,LCN,HI,0.901971548,Kaza et al 2018,0.13,Kaza et al 2018,1.009,Kaza et al 2018,0.02,0.0124,0.287,Jambeck et al. 2015,NA,NA,NA,NA,1.14,0.1,0.0124
Argentina,ARG,LCN,HI,1.136231664,Kaza et al 2018,0.1461,Kaza et al 2018,1.009,Kaza et al 2018,0.226,0.226,0.333,Kaza et al 2018,NA,NA,22.6,NA,NA,NA,0.226
Aruba,ABW,LCN,HI,2.43,Kaza et al 2018,0.127907692,Average for HI / LCN,1.009,Kaza et al 2018,0.89,0.89,0.13,Kaza et al 2018,NA,NA,NA,NA,89,NA,0.89
Australia,AUS,EAS,HI,1.539177573,Kaza et al 2018,0.0761,Kaza et al 2018,1.009,Kaza et al 2018,0.02,0,0.01,Jambeck et al. 2015,48.87,12.2175,NA,NA,NA,NA,0.122175
Azerbaijan,AZE,ECS,UMI,0.814505524,Kaza et al 2018,0.0787,Kaza et al 2018,1.01,Kaza et al 2018,0.9999,1,0.22,Kaza et al 2018,NA,NA,100,NA,NA,NA,1
Bahamas,BHS,LCN,HI,1.848365487,Kaza et al 2018,0.13,Kaza et al 2018,1.009,Kaza et al 2018,0.269,0,0.269,Lebreton & Andrady 2018,NA,NA,NA,NA,NA,NA,0
Bahrain,BHR,MEA,HI,1.830000059,Kaza et al 2018,0.074,Kaza et al 2018,1.009,Kaza et al 2018,0.02,0,0.01,Jambeck et al. 2015,92,23,NA,NA,NA,NA,0.23
Bangladesh,BGD,SAS,LMI,0.275400828,Kaza et al 2018,0.0467,Kaza et al 2018,1.007,Kaza et al 2018,0.9475,0.9475,0.99,Kaza et al 2018,NA,NA,NA,NA,94.75,NA,0.9475
