country,iso3c,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,AFG,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081,36373000,37209000,38055000,38914000,39779000,40649000,41520000,42388000,43254000,44119000,44982000,45843000,46700000,47552000,48400000,49243000,50079000,50908000,51728000,52540000,53343000,54134000,54914000,55682000,56436000,57177000,57903000,58614000,59309000,59988000,60651000,61297000,61928000
Albania,ALB,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2876000,2877000,2878000,2878000,2879000,2878000,2877000,2876000,2873000,2870000,2866000,2861000,2855000,2847000,2839000,2829000,2819000,2807000,2794000,2779000,2764000,2748000,2731000,2714000,2696000,2677000,2659000,2640000,2620000,2601000,2582000,2563000,2543000
Algeria,DZA,11124888,11404859,11690153,11985136,12295970,12626952,12980267,13354197,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,42008000,42679000,43333000,43969000,44584000,45179000,45753000,46308000,46843000,47360000,47860000,48347000,48822000,49286000,49741000,50188000,50631000,51070000,51508000,51944000,52379000,52814000,53249000,53684000,54120000,54554000,54985000,55412000,55834000,56250000,56658000,57054000,57437000
American Samoa,ASM,20013,20486,21117,21882,22698,23520,24321,25116,25885,26614,27292,27916,28492,29014,29488,29932,30321,30689,31102,31673,32457,33493,34738,36160,37688,39241,40837,42450,44047,45593,47038,48375,49593,50720,51803,52868,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641,56000,56000,56000,56000,56000,56000,56000,56000,57000,57000,57000,57000,57000,57000,57000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,57000,57000,57000,57000,57000
Andorra,AND,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965,77000,77000,77000,77000,77000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,79000,79000,79000,79000,79000,78000,78000,78000,78000,78000,78000,78000,77000,77000
Angola,AGO,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193,30774000,31788000,32827000,33894000,34988000,36109000,37257000,38431000,39633000,40862000,42118000,43402000,44712000,46050000,47414000,48805000,50222000,51665000,53133000,54626000,56143000,57685000,59249000,60836000,62445000,64076000,65727000,67399000,69091000,70802000,72531000,74280000,76046000
Antigua and Barbuda,ATG,55339,56144,57144,58294,59524,60781,62059,63360,64655,65910,67098,68188,69176,70066,70878,71609,72285,72875,73324,73528,73442,73066,72448,71639,70725,69782,68809,67845,67058,66627,66696,67307,68427,69938,71719,73619,75628,77739,79851,81831,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012,103000,104000,105000,106000,107000,108000,109000,110000,111000,112000,113000,114000,115000,115000,116000,117000,118000,118000,119000,120000,120000,121000,122000,122000,122000,123000,123000,124000,124000,124000,125000,125000,125000
Argentina,ARG,20619075,20953077,21287682,21621840,21953929,22283390,22608748,22932203,23261278,23605987,23973058,24366439,24782949,25213388,25644506,26066975,26477152,26878565,27277741,27684534,28105888,28543364,28993987,29454738,29920904,30388783,30857244,31326473,31795517,32263561,32729739,33193918,33655151,34110917,34558115,34994814,35419682,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041,44689000,45102000,45510000,45914000,46313000,46707000,47096000,47480000,47859000,48233000,48602000,48965000,49323000,49676000,50022000,50363000,50698000,51028000,51351000,51669000,51981000,52286000,52586000,52879000,53166000,53446000,53721000,53989000,54250000,54505000,54753000,54995000,55229000
Armenia,ARM,1874120,1941491,2009526,2077575,2144998,2211316,2276031,2339124,2401140,2462925,2525065,2587706,2650484,2712781,2773747,2832757,2889579,2944379,2997411,3049105,3099751,3148092,3193686,3238594,3285595,3335935,3392256,3451942,3504651,3536469,3538165,3505251,3442810,3363098,3283660,3217342,3168215,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450,2934000,2937000,2939000,2940000,2940000,2939000,2937000,2934000,2931000,2926000,2920000,2914000,2907000,2900000,2892000,2884000,2875000,2866000,2857000,2848000,2838000,2828000,2818000,2808000,2798000,2787000,2776000,2765000,2753000,2740000,2727000,2714000,2700000
Aruba,ABW,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822,105264,106000,106000,106000,107000,107000,107000,108000,108000,108000,109000,109000,109000,109000,110000,110000,110000,110000,110000,110000,110000,110000,110000,109000,109000,109000,109000,108000,108000,108000,108000,107000,107000,107000
Australia,AUS,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933,24914000,25225000,25529000,25828000,26123000,26416000,26705000,26991000,27272000,27549000,27821000,28088000,28350000,28608000,28861000,29112000,29359000,29605000,29849000,30092000,30334000,30575000,30815000,31055000,31295000,31535000,31775000,32016000,32256000,32497000,32737000,32975000,33210000
Austria,AUT,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212,8832000,8855000,8879000,8902000,8924000,8945000,8964000,8983000,8999000,9014000,9028000,9040000,9051000,9060000,9068000,9075000,9080000,9083000,9085000,9086000,9084000,9082000,9077000,9071000,9064000,9055000,9045000,9034000,9022000,9010000,8997000,8984000,8970000
Azerbaijan,AZE,3895396,4030320,4171425,4315128,4456689,4592610,4721525,4843870,4960235,5071930,5180025,5284532,5385267,5483084,5579077,5674137,5768724,5863134,5957929,6053645,6150738,6249320,6349558,6452076,6557585,6666455,6778633,6893500,7010036,7126891,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429,9961000,10054000,10140000,10220000,10293000,10362000,10424000,10482000,10536000,10585000,10630000,10673000,10713000,10750000,10786000,10819000,10851000,10881000,10909000,10936000,10960000,10981000,11001000,11017000,11031000,11041000,11049000,11053000,11055000,11054000,11050000,11044000,11035000
"Bahamas, The",BHS,109528,115108,121083,127333,133698,140054,146366,152609,158627,164248,169354,173863,177839,181488,185099,188882,192902,197111,201513,206032,210661,215396,220275,225187,230015,234687,239131,243393,247579,251849,256336,261116,266134,271165,275895,280150,283790,286970,290060,293572,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361,399000,403000,407000,411000,414000,418000,421000,425000,428000,431000,434000,437000,440000,443000,445000,447000,450000,452000,454000,456000,458000,460000,461000,463000,465000,466000,467000,469000,470000,471000,473000,474000,475000
Bahrain,BHR,162427,167894,173144,178140,182887,187431,191780,196063,200653,206043,212605,220312,229155,239527,251911,266543,283752,303175,323473,342798,359888,374120,385950,396454,407227,419430,433482,448973,465202,481090,495931,509765,523087,536213,549588,563699,578668,594930,613702,636545,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584,1567000,1638000,1698000,1744000,1780000,1808000,1835000,1862000,1893000,1924000,1955000,1985000,2013000,2038000,2061000,2083000,2103000,2122000,2140000,2158000,2174000,2190000,2205000,2220000,2234000,2247000,2260000,2272000,2284000,2296000,2307000,2317000,2327000
Bangladesh,BGD,48199747,49592802,51030137,52532417,54129100,55834038,57672990,59620669,61579473,63417394,65047770,66424744,67597470,68691185,69884420,71305923,72999136,74925896,77033846,79236776,81470860,83721268,86007331,88338242,90732362,93199865,95742431,98343809,100975321,103599232,106188642,108727432,111221938,113695139,116182267,118706871,121269645,123854640,126447965,129029691,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751,166368000,168066000,169775000,171500000,173229000,174947000,176631000,178263000,179836000,181353000,182815000,184224000,185585000,186895000,188151000,189354000,190504000,191601000,192643000,193633000,194570000,195457000,196294000,197083000,197824000,198515000,199155000,199744000,200281000,200767000,201203000,201589000,201927000
Barbados,BRB,230939,231678,232586,233587,234547,235374,236044,236621,237199,237913,238848,240035,241441,242976,244539,246034,247444,248784,250032,251177,252194,253080,253841,254518,255193,255924,256736,257611,258527,259458,260374,261275,262184,263089,264015,264959,265942,266945,267950,268922,269847,270685,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996,285719,286000,287000,288000,288000,289000,289000,289000,290000,290000,290000,290000,290000,290000,290000,290000,290000,289000,289000,289000,288000,288000,287000,287000,286000,286000,285000,284000,284000,283000,282000,282000,281000,280000
Belarus,BLR,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875,9479000,9450000,9419000,9388000,9356000,9323000,9288000,9251000,9212000,9171000,9128000,9083000,9036000,8988000,8939000,8890000,8839000,8790000,8740000,8692000,8644000,8598000,8553000,8509000,8467000,8427000,8388000,8350000,8314000,8279000,8244000,8210000,8175000
