Scenario,action,eco_status,Value,min_rate,max_rate
4-reduction-1,wm,HI,0.9,1.1,1.35
4-reduction-1,wm,UMI,0.7,1.1,1.35
4-reduction-1,wm,LMI,0.5,1.1,1.35
4-reduction-1,wm,LI,0.3,1.1,1.35
4-reduction-1,rd,HI,0.75,1,1
4-reduction-1,rd,UMI,0.75,1,1
4-reduction-1,rd,LMI,0.75,1,1
4-reduction-1,rd,LI,0.75,1,1
4-reduction-1,cu,HI,0.9,1,1
4-reduction-1,cu,UMI,0.9,1,1
4-reduction-1,cu,LMI,0.9,1,1
4-reduction-1,cu,LI,0.9,1,1
4-reduction-2,wm,HI,0.9,1.1,1.35
4-reduction-2,wm,UMI,0.7,1.1,1.35
4-reduction-2,wm,LMI,0.5,1.1,1.35
4-reduction-2,wm,LI,0.3,1.1,1.35
4-reduction-2,rd,HI,0.5,1,1
4-reduction-2,rd,UMI,0.5,1,1
4-reduction-2,rd,LMI,0.5,1,1
4-reduction-2,rd,LI,0.5,1,1
4-reduction-2,cu,HI,0.9,1,1
4-reduction-2,cu,UMI,0.9,1,1
4-reduction-2,cu,LMI,0.9,1,1
4-reduction-2,cu,LI,0.9,1,1
4-reduction-3,wm,HI,0.9,1.1,1.35
4-reduction-3,wm,UMI,0.7,1.1,1.35
4-reduction-3,wm,LMI,0.5,1.1,1.35
4-reduction-3,wm,LI,0.3,1.1,1.35
4-reduction-3,rd,HI,0.25,1,1
4-reduction-3,rd,UMI,0.25,1,1
4-reduction-3,rd,LMI,0.25,1,1
4-reduction-3,rd,LI,0.25,1,1
4-reduction-3,cu,HI,0.9,1,1
4-reduction-3,cu,UMI,0.9,1,1
4-reduction-3,cu,LMI,0.9,1,1
4-reduction-3,cu,LI,0.9,1,1
4-reduction-4,wm,HI,0.9,1.1,1.35
4-reduction-4,wm,UMI,0.7,1.1,1.35
4-reduction-4,wm,LMI,0.5,1.1,1.35
4-reduction-4,wm,LI,0.3,1.1,1.35
4-reduction-4,rd,HI,0.15,1,1
4-reduction-4,rd,UMI,0.15,1,1
4-reduction-4,rd,LMI,0.15,1,1
4-reduction-4,rd,LI,0.15,1,1
4-reduction-4,cu,HI,0.9,1,1
4-reduction-4,cu,UMI,0.9,1,1
4-reduction-4,cu,LMI,0.9,1,1
4-reduction-4,cu,LI,0.9,1,1
5-wm-1,wm,HI,0.99,1.1,1.35
5-wm-1,wm,UMI,0.8,1.1,1.35
5-wm-1,wm,LMI,0.6,1.1,1.35
5-wm-1,wm,LI,0.5,1.1,1.35
5-wm-1,rd,HI,0.9,1,1
5-wm-1,rd,UMI,0.95,1,1
5-wm-1,rd,LMI,0.95,1,1
5-wm-1,rd,LI,1,1,1
5-wm-1,cu,HI,0.9,1,1
5-wm-1,cu,UMI,0.9,1,1
5-wm-1,cu,LMI,0.9,1,1
5-wm-1,cu,LI,0.9,1,1
5-wm-2,wm,HI,0.99,1.1,1.35
5-wm-2,wm,UMI,0.9,1.1,1.35
5-wm-2,wm,LMI,0.75,1.1,1.35
5-wm-2,wm,LI,0.65,1.1,1.35
5-wm-2,rd,HI,0.9,1,1
5-wm-2,rd,UMI,0.95,1,1
5-wm-2,rd,LMI,0.95,1,1
5-wm-2,rd,LI,1,1,1
5-wm-2,cu,HI,0.9,1,1
5-wm-2,cu,UMI,0.9,1,1
5-wm-2,cu,LMI,0.9,1,1
5-wm-2,cu,LI,0.9,1,1
5-wm-3,wm,HI,0.99,1.1,1.35
5-wm-3,wm,UMI,0.99,1.1,1.35
5-wm-3,wm,LMI,0.95,1.1,1.35
5-wm-3,wm,LI,0.8,1.1,1.35
5-wm-3,rd,HI,0.9,1,1
