"Year","Scenario","eco_status","med","lwr","upr"
2016,"Ambitious","HI",2.129,1.999,2.26
2016,"Ambitious","LI",0.992,0.832,1.149
2016,"Ambitious","LMI",8.961,8.036,9.887
2016,"Ambitious","UMI",9.255,8.384,10.121
2016,"Business as usual","HI",2.129,1.999,2.26
2016,"Business as usual","LI",0.992,0.832,1.149
2016,"Business as usual","LMI",8.961,8.036,9.887
2016,"Business as usual","UMI",9.255,8.384,10.121
2016,"Target <8 Mt","HI",2.129,1.999,2.26
2016,"Target <8 Mt","LI",0.992,0.832,1.149
2016,"Target <8 Mt","LMI",8.961,8.036,9.887
2016,"Target <8 Mt","UMI",9.255,8.384,10.121
2017,"Ambitious","HI",1.968,1.813,2.136
2017,"Ambitious","LI",1.052,0.879,1.223
2017,"Ambitious","LMI",8.96,7.992,9.971
2017,"Ambitious","UMI",9.455,8.491,10.43
2017,"Business as usual","HI",2.306,2.141,2.474
2017,"Business as usual","LI",1.082,0.904,1.256
2017,"Business as usual","LMI",9.711,8.672,10.763
2017,"Business as usual","UMI",9.98,8.99,10.973
2017,"Target <8 Mt","HI",1.251,1.107,1.439
2017,"Target <8 Mt","LI",1.014,0.847,1.18
2017,"Target <8 Mt","LMI",8.378,7.403,9.403
2017,"Target <8 Mt","UMI",7.172,5.845,8.587
2018,"Ambitious","HI",2,1.766,2.251
2018,"Ambitious","LI",1.114,0.917,1.314
2018,"Ambitious","LMI",9.058,7.852,10.344
2018,"Ambitious","UMI",9.609,8.352,10.928
2018,"Business as usual","HI",2.497,2.258,2.744
2018,"Business as usual","LI",1.181,0.974,1.391
2018,"Business as usual","LMI",10.528,9.218,11.879
2018,"Business as usual","UMI",10.757,9.483,12.071
2018,"Target <8 Mt","HI",1.144,0.991,1.304
2018,"Target <8 Mt","LI",1.032,0.851,1.219
2018,"Target <8 Mt","LMI",7.585,6.249,9.029
2018,"Target <8 Mt","UMI",6.063,5.066,7.327
2019,"Ambitious","HI",2.026,1.678,2.39
2019,"Ambitious","LI",1.179,0.948,1.421
2019,"Ambitious","LMI",9.157,7.643,10.783
2019,"Ambitious","UMI",9.834,8.325,11.495
2019,"Business as usual","HI",2.703,2.363,3.056
2019,"Business as usual","LI",1.29,1.042,1.55
2019,"Business as usual","LMI",11.419,9.727,13.199
2019,"Business as usual","UMI",11.597,9.944,13.332
2019,"Target <8 Mt","HI",1.075,0.855,1.3
2019,"Target <8 Mt","LI",1.043,0.839,1.259
2019,"Target <8 Mt","LMI",6.835,5.347,8.611
2019,"Target <8 Mt","UMI",5.515,4.314,6.762
2020,"Ambitious","HI",2.078,1.696,2.545
2020,"Ambitious","LI",1.245,0.972,1.537
2020,"Ambitious","LMI",9.42,7.645,11.327
2020,"Ambitious","UMI",10.145,8.344,12.109
2020,"Business as usual","HI",2.926,2.47,3.411
2020,"Business as usual","LI",1.408,1.11,1.732
2020,"Business as usual","LMI",12.391,10.227,14.702
