"Year","Scenario","country","Income","med","lwr","upr"
2016,"Ambitious","AFG","LI",0.126619,0.098529,0.154205
2016,"Ambitious","AGO","LMI",0.16846,0.151654,0.186071
2016,"Ambitious","ALB","UMI",0.028016,0.024394,0.03178
2016,"Ambitious","ARE","HI",0.325334,0.312372,0.337617
2016,"Ambitious","ARG","HI",0.177564,0.160113,0.195931
2016,"Ambitious","ATG","HI",6e-05,5.9e-05,6.2e-05
2016,"Ambitious","AUS","HI",0.008898,0.008391,0.009382
2016,"Ambitious","AZE","UMI",0.076428,0.069904,0.082727
2016,"Ambitious","BEL","HI",0.00415,0.003686,0.004615
2016,"Ambitious","BEN","LI",0.0206,0.018185,0.022893
2016,"Ambitious","BGD","LMI",0.192006,0.168892,0.214119
2016,"Ambitious","BGR","UMI",0.018825,0.016253,0.021356
2016,"Ambitious","BHR","HI",0.000942,0.000923,0.000962
2016,"Ambitious","BHS","HI",0.006054,0.005924,0.006189
2016,"Ambitious","BIH","UMI",0.017514,0.014303,0.020752
2016,"Ambitious","BLZ","UMI",0.004101,0.003721,0.004465
2016,"Ambitious","BOL","LMI",0.015583,0.010942,0.020359
2016,"Ambitious","BRA","UMI",0.670349,0.594517,0.746132
2016,"Ambitious","BRB","HI",0.000413,0.000405,0.000422
2016,"Ambitious","BRN","HI",0.004821,0.004623,0.005018
2016,"Ambitious","BWA","UMI",0.00392,0.003049,0.004772
2016,"Ambitious","CAN","HI",0.023951,0.022173,0.025782
2016,"Ambitious","CHE","HI",0.005818,0.005304,0.006348
2016,"Ambitious","CHL","HI",0.02727,0.024236,0.030121
2016,"Ambitious","CHN","UMI",1.575653,1.405343,1.742304
2016,"Ambitious","CIV","LMI",0.130309,0.115139,0.145105
2016,"Ambitious","CMR","LMI",0.020668,0.017539,0.02398
2016,"Ambitious","COD","LI",0.153602,0.13894,0.168223
2016,"Ambitious","COG","LMI",0.028959,0.027636,0.030159
2016,"Ambitious","COL","UMI",0.015089,0.012823,0.017404
2016,"Ambitious","COM","LI",0.00284,0.002767,0.002916
2016,"Ambitious","CPV","LMI",0.003432,0.003157,0.003718
2016,"Ambitious","CRI","UMI",0.003039,0.002368,0.003724
2016,"Ambitious","CYP","HI",0.002469,0.002309,0.002622
2016,"Ambitious","CZE","HI",0.000422,0.000375,0.000467
2016,"Ambitious","DEU","HI",0.038849,0.034922,0.042955
2016,"Ambitious","DJI","LMI",0.005856,0.005479,0.006262
2016,"Ambitious","DMA","UMI",7.9e-05,7.7e-05,8.1e-05
2016,"Ambitious","DNK","HI",0.006754,0.006421,0.007084
2016,"Ambitious","DOM","UMI",0.138163,0.128114,0.148601
2016,"Ambitious","DZA","UMI",0.438132,0.384779,0.490883
2016,"Ambitious","ECU","UMI",0.047573,0.0411,0.05439
2016,"Ambitious","EGY","LMI",0.969319,0.898061,1.038497
2016,"Ambitious","ERI","LI",0,0,0
2016,"Ambitious","ESP","HI",0.014973,0.014054,0.015849
2016,"Ambitious","EST","HI",0.005574,0.005309,0.005851
2016,"Ambitious","FIN","HI",0.002643,0.002411,0.002871
2016,"Ambitious","FJI","UMI",0.003993,0.003779,0.004203
2016,"Ambitious","FRA","HI",0.022104,0.020521,0.023672
2016,"Ambitious","FRO","HI",0.000794,0.000729,0.000862
2016,"Ambitious","FSM","LMI",0.017404,0.016783,0.018026
2016,"Ambitious","GAB","UMI",0.008613,0.008246,0.008965
2016,"Ambitious","GBR","HI",0.055427,0.050853,0.060067
2016,"Ambitious","GEO","LMI",0.000235,0.000224,0.000246
2016,"Ambitious","GHA","LMI",0.012564,0.011098,0.014049
2016,"Ambitious","GIB","HI",6.5e-05,6.4e-05,6.7e-05
2016,"Ambitious","GIN","LI",0.007746,0.006564,0.008933
2016,"Ambitious","GMB","LI",0.005928,0.005709,0.006153
2016,"Ambitious","GNB","LI",0.004303,0.004021,0.004586
2016,"Ambitious","GNQ","UMI",0.00011,9.8e-05,0.000122
2016,"Ambitious","GRC","HI",0.007271,0.006897,0.007637
2016,"Ambitious","GRD","UMI",7.1e-05,7e-05,7.3e-05
2016,"Ambitious","GTM","UMI",0.040465,0.026655,0.05414
2016,"Ambitious","GUY","UMI",0.008826,0.008519,0.009136
2016,"Ambitious","HKG","HI",0.015749,0.015402,0.01609
2016,"Ambitious","HND","LMI",0.017604,0.014329,0.020532
2016,"Ambitious","HRV","HI",0.0039,0.003707,0.004101
2016,"Ambitious","HTI","LI",0.118621,0.112537,0.124653
2016,"Ambitious","IDN","LMI",1.689967,1.553517,1.825571
2016,"Ambitious","IND","LMI",2.860935,2.514122,3.211998
2016,"Ambitious","IRL","HI",0.004473,0.00417,0.004783
2016,"Ambitious","IRN","UMI",0.152332,0.111761,0.191669
2016,"Ambitious","IRQ","UMI",0.319262,0.3019,0.337345
2016,"Ambitious","ISR","HI",0.007949,0.007482,0.008419
2016,"Ambitious","ITA","HI",0.120004,0.109188,0.130764
2016,"Ambitious","JAM","UMI",0.023585,0.022644,0.024537
2016,"Ambitious","JOR","UMI",0.015775,0.005236,0.026491
