Year,Scenario,med,lwr,upr,concatenate
2016,4-reduction-1,21.34,19.25,23.42,21.34 (19.25 - 23.42)
2017,4-reduction-1,21.21,18.96,23.51,21.21 (18.96 - 23.51)
2018,4-reduction-1,21.32,18.49,24.31,21.32 (18.49 - 24.31)
2019,4-reduction-1,21.48,18.01,25.27,21.48 (18.01 - 25.27)
2020,4-reduction-1,21.9,17.84,26.37,21.9 (17.84 - 26.37)
2021,4-reduction-1,22.48,17.67,27.82,22.48 (17.67 - 27.82)
2022,4-reduction-1,23.17,17.54,29.49,23.17 (17.54 - 29.49)
2023,4-reduction-1,23.94,17.41,31.25,23.94 (17.41 - 31.25)
2024,4-reduction-1,24.73,17.25,33.23,24.73 (17.25 - 33.23)
2025,4-reduction-1,25.53,16.94,35.39,25.53 (16.94 - 35.39)
2026,4-reduction-1,26.32,16.61,37.6,26.32 (16.61 - 37.6)
2027,4-reduction-1,27.14,16.45,39.58,27.14 (16.45 - 39.58)
2028,4-reduction-1,27.94,16.44,41.31,27.94 (16.44 - 41.31)
2029,4-reduction-1,28.73,16.48,42.96,28.73 (16.48 - 42.96)
2030,4-reduction-1,29.49,16.54,44.38,29.49 (16.54 - 44.38)
2016,4-reduction-2,21.34,19.25,23.42,21.34 (19.25 - 23.42)
2017,4-reduction-2,20.82,18.61,23.07,20.82 (18.61 - 23.07)
2018,4-reduction-2,20.52,17.79,23.39,20.52 (17.79 - 23.39)
2019,4-reduction-2,20.25,16.99,23.8,20.25 (16.99 - 23.8)
2020,4-reduction-2,20.21,16.45,24.3,20.21 (16.45 - 24.3)
2021,4-reduction-2,20.27,15.92,25.06,20.27 (15.92 - 25.06)
2022,4-reduction-2,20.39,15.41,25.96,20.39 (15.41 - 25.96)
2023,4-reduction-2,20.51,14.92,26.8,20.51 (14.92 - 26.8)
2024,4-reduction-2,20.61,14.35,27.67,20.61 (14.35 - 27.67)
2025,4-reduction-2,20.63,13.66,28.54,20.63 (13.66 - 28.54)
2026,4-reduction-2,20.58,12.95,29.39,20.58 (12.95 - 29.39)
2027,4-reduction-2,20.48,12.42,29.96,20.48 (12.42 - 29.96)
2028,4-reduction-2,20.3,11.96,30.11,20.3 (11.96 - 30.11)
2029,4-reduction-2,20.02,11.51,29.91,20.02 (11.51 - 29.91)
2030,4-reduction-2,19.65,11.03,29.51,19.65 (11.03 - 29.51)
2016,4-reduction-3,21.34,19.25,23.42,21.34 (19.25 - 23.42)
2017,4-reduction-3,20.44,18.26,22.66,20.44 (18.26 - 22.66)
2018,4-reduction-3,19.74,17.07,22.49,19.74 (17.07 - 22.49)
2019,4-reduction-3,19.04,15.94,22.39,19.04 (15.94 - 22.39)
2020,4-reduction-3,18.52,15.06,22.26,18.52 (15.06 - 22.26)
2021,4-reduction-3,18.06,14.19,22.35,18.06 (14.19 - 22.35)
2022,4-reduction-3,17.59,13.31,22.37,17.59 (13.31 - 22.37)
2023,4-reduction-3,17.07,12.42,22.33,17.07 (12.42 - 22.33)
2024,4-reduction-3,16.46,11.47,22.18,16.46 (11.47 - 22.18)
2025,4-reduction-3,15.72,10.42,21.88,15.72 (10.42 - 21.88)
2026,4-reduction-3,14.84,9.35,21.3,14.84 (9.35 - 21.3)
2027,4-reduction-3,13.83,8.38,20.24,13.83 (8.38 - 20.24)
2028,4-reduction-3,12.66,7.45,18.84,12.66 (7.45 - 18.84)
2029,4-reduction-3,11.32,6.5,17,11.32 (6.5 - 17)
2030,4-reduction-3,9.8,5.5,14.79,9.8 (5.5 - 14.79)
2016,4-reduction-4,21.34,19.25,23.42,21.34 (19.25 - 23.42)
2017,4-reduction-4,20.29,18.13,22.51,20.29 (18.13 - 22.51)
2018,4-reduction-4,19.44,16.82,22.18,19.44 (16.82 - 22.18)
2019,4-reduction-4,18.59,15.54,21.87,18.59 (15.54 - 21.87)
2020,4-reduction-4,17.9,14.53,21.54,17.9 (14.53 - 21.54)
2021,4-reduction-4,17.23,13.48,21.33,17.23 (13.48 - 21.33)
2022,4-reduction-4,16.53,12.45,21.06,16.53 (12.45 - 21.06)
2023,4-reduction-4,15.76,11.4,20.6,15.76 (11.4 - 20.6)
2024,4-reduction-4,14.86,10.29,19.96,14.86 (10.29 - 19.96)
2025,4-reduction-4,13.8,9.09,19.13,13.8 (9.09 - 19.13)
2026,4-reduction-4,12.59,7.87,17.98,12.59 (7.87 - 17.98)
2027,4-reduction-4,11.21,6.76,16.33,11.21 (6.76 - 16.33)
2028,4-reduction-4,9.65,5.65,14.28,9.65 (5.65 - 14.28)
2029,4-reduction-4,7.89,4.5,11.81,7.89 (4.5 - 11.81)
2030,4-reduction-4,5.91,3.28,8.91,5.91 (3.28 - 8.91)
2016,5-wm-1,21.34,19.25,23.42,21.34 (19.25 - 23.42)
2017,5-wm-1,20.07,17.78,22.44,20.07 (17.78 - 22.44)
2018,5-wm-1,20.09,17.26,23.03,20.09 (17.26 - 23.03)
2019,5-wm-1,20.17,16.53,24.09,20.17 (16.53 - 24.09)
2020,5-wm-1,20.44,16.22,25.28,20.44 (16.22 - 25.28)
2021,5-wm-1,20.97,16.12,26.55,20.97 (16.12 - 26.55)
2022,5-wm-1,21.65,16.05,28.03,21.65 (16.05 - 28.03)
2023,5-wm-1,22.46,16.05,29.9,22.46 (16.05 - 29.9)
2024,5-wm-1,23.37,16.04,31.94,23.37 (16.04 - 31.94)
2025,5-wm-1,24.31,15.88,34.28,24.31 (15.88 - 34.28)
